,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
232,2022-03-31,117.070000,118.529999,116.739998,116.750000,115.746704,1020700
233,2022-04-01,116.669998,120.250000,116.339996,120.089996,119.057999,2111000
234,2022-04-04,119.370003,119.660004,117.610001,119.410004,118.383850,1231400
235,2022-04-05,119.820000,122.099998,119.449997,121.309998,120.267509,1589900
236,2022-04-06,121.739998,123.760002,120.870003,123.599998,122.537834,1468800
237,2022-04-07,123.269997,123.730003,121.300003,122.989998,121.933075,1151000
238,2022-04-08,123.680000,124.050003,122.029999,123.320000,122.260239,892200
239,2022-04-11,123.599998,124.309998,121.400002,121.790001,120.743393,804900
240,2022-04-12,121.379997,123.830002,120.480003,123.309998,122.250328,1527700
241,2022-04-13,123.059998,123.620003,122.309998,123.370003,122.309814,987100
242,2022-04-14,123.599998,124.760002,123.250000,124.199997,123.132675,925100
243,2022-04-18,124.550003,124.860001,124.000000,124.440002,123.370621,1027200
244,2022-04-19,124.620003,124.860001,122.989998,124.550003,123.479675,839700
245,2022-04-20,125.620003,126.730003,124.989998,125.839996,124.758583,1382900
246,2022-04-21,125.550003,126.820000,124.760002,125.330002,124.252968,1107200
247,2022-04-22,125.129997,125.220001,123.169998,123.339996,122.280067,786900
248,2022-04-25,123.860001,123.860001,120.139999,122.239998,121.189522,881500
249,2022-04-26,122.059998,123.470001,120.639999,120.660004,119.623108,1002400
250,2022-04-27,119.879997,122.559998,118.120003,120.680000,119.642929,1263500
251,2022-04-28,121.379997,122.919998,120.050003,122.320000,121.268837,798600
252,2022-04-29,121.919998,122.000000,118.660004,118.849998,117.828651,1594500
253,2022-05-02,119.510002,120.260002,116.570000,118.040001,117.025620,1156200
254,2022-05-03,118.519997,120.050003,117.300003,117.529999,116.519997,907900
